[DEBUG]	STARTING DIAGNOSIS_FROM_OBSERVABLE
[INFO]	DIMENSION:21 ORIGINAL SEQUENCE:[('N0', 'ε', 0), (0, 'ε', 9), (0, 'ε', 1), (1, 'ε', 2), (2, 'ε', 7), (2, 'ε', 5), (2, 'f3', 3), (3, 'ε', 4), (4, 'ε', 11), (5, 'ε', 6), (6, 'ε', 12), (7, 'ε', 8), (7, 'ε', 6), (7, 'f3', 4), (8, 'ε', 12), (8, 'f3', 11), (9, 'ε', 10), (9, 'ε', 2), (10, 'ε', 7), (11, 'ε', 'NQ'), (12, 'ε', 'NQ')]
[INFO]	DIMENSION:17 NEW SERIES EXECUTED:[('N0', 'ε', 0), (0, 'ε', 9), (0, 'ε', 2), (2, 'ε', 7), (2, 'ε', 6), (2, 'f3', 4), (4, 'ε', 11), (6, 'ε', 12), (7, 'ε', 8), (7, 'ε', 6), (7, 'f3', 4), (8, 'ε', 12), (8, 'f3', 11), (9, 'ε', 7), (9, 'ε', 2), (11, 'ε', 'NQ'), (12, 'ε', 'NQ')]
[INFO]	DIMENSION:17 NEW PARALLEL EXECUTED:[('N0', 'ε', 0), (0, 'ε', 9), (0, 'ε', 2), (2, 'ε', 7), (2, 'ε', 6), (2, 'f3', 4), (4, 'ε', 11), (6, 'ε', 12), (7, 'ε', 8), (7, 'ε', 6), (7, 'f3', 4), (8, 'ε', 12), (8, 'f3', 11), (9, 'ε', 7), (9, 'ε', 2), (11, 'ε', 'NQ'), (12, 'ε', 'NQ')]
[INFO]	DIMENSION:16 NEW LOOP EXECUTED:[('N0', 'ε', 2), (2, 'ε', 7), (2, 'ε', 6), (2, 'f3', 4), (4, 'ε', 11), (6, 'ε', 12), (7, 'ε', 8), (7, 'ε', 6), (7, 'f3', 4), (8, 'ε', 12), (8, 'f3', 11), (9, 'ε', 7), (9, 'ε', 2), (11, 'ε', 'NQ'), (12, 'ε', 'NQ'), ('N0', 'ε', 9)]
[INFO]	DIMENSION:16 NEW SERIES EXECUTED:[('N0', 'ε', 2), ('N0', 'ε', 9), (2, 'ε', 7), (2, 'ε', 6), (2, 'f3', 4), (4, 'ε', 11), (6, 'ε', 12), (7, 'ε', 8), (7, 'ε', 6), (7, 'f3', 4), (8, 'ε', 12), (8, 'f3', 11), (9, 'ε', 7), (9, 'ε', 2), (11, 'ε', 'NQ'), (12, 'ε', 'NQ')]
[INFO]	DIMENSION:16 NEW PARALLEL EXECUTED:[('N0', 'ε', 2), ('N0', 'ε', 9), (2, 'ε', 7), (2, 'ε', 6), (2, 'f3', 4), (4, 'ε', 11), (6, 'ε', 12), (7, 'ε', 8), (7, 'ε', 6), (7, 'f3', 4), (8, 'ε', 12), (8, 'f3', 11), (9, 'ε', 7), (9, 'ε', 2), (11, 'ε', 'NQ'), (12, 'ε', 'NQ')]
[INFO]	DIMENSION:17 NEW LOOP EXECUTED:[('N0', 'ε', 6), ('N0', 'f3', 4), (9, 'ε', 7), (9, 'ε', 6), (9, 'f3', 4), ('N0', 'ε', 9), (4, 'ε', 11), (6, 'ε', 12), (7, 'ε', 8), (7, 'ε', 6), (7, 'f3', 4), (8, 'ε', 12), (8, 'f3', 11), (9, 'ε', 7), (11, 'ε', 'NQ'), (12, 'ε', 'NQ'), ('N0', 'ε', 7)]
[INFO]	DIMENSION:16 NEW SERIES EXECUTED:[('N0', 'ε', 6), ('N0', 'f3', 4), ('N0', 'ε', 9), ('N0', 'ε', 7), (9, 'ε', 7), (9, 'ε', 6), (9, 'f3', 4), (4, 'ε', 11), (6, 'ε', 12), (7, 'ε', 8), (7, 'ε', 6), (7, 'f3', 4), (8, 'ε', 12), (8, 'f3', 11), (11, 'ε', 'NQ'), (12, 'ε', 'NQ')]
[INFO]	DIMENSION:16 NEW PARALLEL EXECUTED:[('N0', 'ε', 6), ('N0', 'f3', 4), ('N0', 'ε', 9), ('N0', 'ε', 7), (9, 'ε', 7), (9, 'ε', 6), (9, 'f3', 4), (4, 'ε', 11), (6, 'ε', 12), (7, 'ε', 8), (7, 'ε', 6), (7, 'f3', 4), (8, 'ε', 12), (8, 'f3', 11), (11, 'ε', 'NQ'), (12, 'ε', 'NQ')]
[INFO]	DIMENSION:15 NEW LOOP EXECUTED:[('N0', 'ε', 6), ('N0', 'f3', 4), ('N0', 'ε', 6), ('N0', 'f3', 4), ('N0', 'ε', 7), (4, 'ε', 11), (6, 'ε', 12), (7, 'ε', 8), (7, 'ε', 6), (7, 'f3', 4), (8, 'ε', 12), (8, 'f3', 11), (11, 'ε', 'NQ'), (12, 'ε', 'NQ'), ('N0', 'ε', 7)]
